City,Country,Continent,Population (2024),Population (2023),Growth Rate,Population Change
Algiers,Algeria,Africa,0.060554903356383985,0.05962105346984013,0.4506283662477559,50305
Shizuoka,Japan,Asia,0.06009875044957379,0.060595894353782154,0.12926391382405747,-1832
Lubumbashi,DR Congo,Africa,0.06005571456223607,0.05715711838691023,0.9192100538599641,122003
Cali,Colombia,South America,0.0588587119169177,0.05857680635007552,0.30700179533213645,26703
Goiania,Brazil,South America,0.05885829943237453,0.05815842194077277,0.40394973070017953,41945
Pretoria,South Africa,Africa,0.058844027467180746,0.057325519688445806,0.5978456014362656,71799
Shaoxing,China,Asia,0.05863151543053803,0.05698421980261098,0.6301615798922802,76517
Incheon,South Korea,Asia,0.0580681990394115,0.058160725427066365,0.22262118491921007,13129
Yantai,China,Asia,0.0573208320451212,0.0558579795397766,0.5942549371633752,69924
Zibo,China,Asia,0.057153830803075234,0.05628461810829809,0.4524236983842011,48293
Huizhou,China,Asia,0.057131144153200725,0.055693691606622464,0.5888689407540395,69017
Manchester,United Kingdom,Unknown,0.056695175490036456,0.056582508246480936,0.27289048473967686,20751
Taipei,Taiwan,Asia,0.05544611729536965,0.055573115068134935,0.2190305206463196,12138
Mogadishu,Somalia,Africa,0.054359385517926184,0.051632151666802684,0.9407540394973071,116332
Brazzaville,Republic of the Congo,Unknown,0.05429754033541978,0.05237941358942837,0.7307001795332136,86833
Accra,Ghana,Africa,0.054204016339997704,0.052992003831246165,0.5529622980251347,61093
Bandung,Indonesia,Asia,0.0540128985016609,0.053373943796689485,0.40933572710951527,40215
Damascus,Syria,Asia,0.05321944323441341,0.050927065481314565,0.8384201077199281,100590
Birmingham,United Kingdom,Europe,0.05320420880528555,0.05312988393939155,0.27289048473967686,19707
Vancouver,Canada,North America,0.05314101617327145,0.052910175222911665,0.3123877917414722,25421
Toluca De Lerdo,Mexico,North America,0.05291626709518128,0.05206775737839567,0.4685816876122083,47968
Luoyang,China,Asia,0.05270749491839667,0.05142127298111493,0.5816876122082586,63951
